p,d,q,P,D,Q,s,AIC,BIC,converged
6,2,2,1,1,1,24,33130.98247863225,33232.50267272122,True
0,0,0,1,1,1,24,33138.360745339305,33192.12844336288,True
2,2,3,1,1,1,24,33159.63655973543,33243.251083959076,True
5,2,0,1,1,1,24,33234.22406093464,33317.83375673954,True
0,2,1,1,1,1,24,33237.33164681493,33297.06320114937,True
0,1,0,1,1,1,24,33242.76491712173,33296.52951650523,True
0,2,3,1,1,1,24,33249.56934011721,33321.23893230891,True
1,2,2,1,1,1,24,33292.68885202685,33364.362581436304,True
4,2,0,1,1,1,24,33387.524736412626,33465.166794620294,True
0,2,2,1,1,1,24,33513.52926801836,33579.2301866437,True
3,2,0,1,1,1,24,33629.546059707995,33701.21978911745,True
2,2,0,1,1,1,24,33920.166885486484,33985.87159525437,True
1,2,0,1,1,1,24,34542.77155162349,34602.50655126374,True
0,2,0,1,1,1,24,36278.761191173566,36332.522690849786,True
